dataset,model,variant,params,feature_count,train_rows,test_rows,test_threshold,notes,cv_accuracy_mean,cv_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_tn,test_fp,test_fn,test_tp
Data1,MajorityBaseline,default,{},11,935,234,0.5,Majority-class baseline.,0.5957219251336899,0.0026197751259712694,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.594017094017094,0.0,0.0,0.0,0.5,139,0,95,0
Data1,LogisticRegression,default,{},11,935,234,0.5,Interpretable linear baseline with scaled numeric features.,0.9614973262032086,0.023038138212340104,0.9573367530209635,0.02780223316199273,0.9471228070175439,0.03253326067533477,0.9520935296856049,0.02858011758386978,0.9926342884237622,0.007050203325881672,0.9700854700854701,0.9782608695652174,0.9473684210526315,0.9625668449197861,0.9971223021582734,137,2,5,90
Data1,LogisticRegression,tuned,"{""model__C"": 1.0, ""model__class_weight"": ""balanced""}",11,935,234,0.5,Tuned with GridSearchCV refit on recall. Interpretable linear baseline with scaled numeric features.,0.9679144385026739,0.017896471155809095,0.9518914034775607,0.03152629885846252,0.9708421052631578,0.027229607480566177,0.9608285917496444,0.02171544063826484,0.9927291200975411,0.007202144988849964,0.9786324786324786,0.9787234042553191,0.968421052631579,0.9735449735449735,0.9970465732677016,137,2,3,92
Data1,HistGradientBoosting,default,{},11,935,234,0.5,Nonlinear boosted tree model.,0.9871657754010694,0.00800354521235066,0.9869996578857337,0.016294123509841527,0.9814385964912281,0.01357055817738983,0.9840841710049718,0.010007953236182995,0.9992877463930097,0.0008354213083229693,0.9957264957264957,0.9895833333333334,1.0,0.9947643979057592,0.9998485422188566,138,1,0,95
Data1,HistGradientBoosting,tuned,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.06, ""model__max_iter"": 200, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 10}",11,935,234,0.5,Tuned with GridSearchCV refit on recall. Nonlinear boosted tree model.,0.9871657754010694,0.012005317818526012,0.9795692640692641,0.023233375837697946,0.98940350877193,0.00995935105506281,0.9843426661206169,0.014499771508027033,0.9987182483235115,0.0013979063119455642,0.9914529914529915,0.9894736842105263,0.9894736842105263,0.9894736842105263,0.9997728133282847,138,1,1,94
Data1,RandomForest,default,{},11,935,234,0.5,Bagged tree model with native feature importance.,0.9828877005347593,0.011909656391080265,0.9789013385855491,0.015798517477428154,0.9788070175438597,0.018097033353276348,0.9787867050945408,0.01492764810965801,0.9987183499288761,0.0009441392101409378,0.9871794871794872,0.9893617021276596,0.9789473684210527,0.9841269841269841,0.9997728133282846,138,1,2,93
Data1,RandomForest,tuned,"{""model__class_weight"": ""balanced"", ""model__max_depth"": null, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",11,935,234,0.5,Tuned with GridSearchCV refit on recall. Bagged tree model with native feature importance.,0.9807486631016042,0.011519069106170066,0.9693606237816764,0.023980498266021548,0.9841403508771929,0.009922196561782528,0.9765306937990778,0.013726027684920901,0.997981575560523,0.0014985754027074425,0.9743589743589743,0.9587628865979382,0.9789473684210527,0.96875,0.9988640666414237,135,4,2,93
Data2,MajorityBaseline,default,{},13,797,200,0.5,Majority-class baseline.,0.6674999999999999,0.0010206207261596538,0.6674999999999999,0.0010206207261596538,1.0,0.0,0.8005992509363296,0.0007339295109462289,0.5,0.0,0.665,0.665,1.0,0.7987987987987988,0.5,0,67,0,133
Data2,LogisticRegression,default,{},13,797,200,0.5,Interpretable linear baseline with scaled numeric features.,0.8105503144654087,0.008950001265109706,0.8501376813022878,0.01707061671971642,0.8702697936871804,0.011296585752668311,0.8598590270289013,0.004468846557070853,0.8627642124945518,0.018038885334587265,0.76,0.8057553956834532,0.8421052631578947,0.8235294117647058,0.7904836718662327,40,27,21,112
Data2,LogisticRegression,tuned,"{""model__C"": 0.1, ""model__class_weight"": null}",13,797,200,0.5,Tuned with GridSearchCV refit on recall. Interpretable linear baseline with scaled numeric features.,0.8168317610062893,0.019798251154677076,0.8425159753051116,0.01693703681339725,0.8928760359724917,0.02190058696011541,0.8667705647900554,0.014464536459539082,0.8604655263621936,0.02065900473165228,0.78,0.8111888111888111,0.8721804511278195,0.8405797101449275,0.7845359667826282,40,27,17,116
Data2,HistGradientBoosting,default,{},13,797,200,0.5,Nonlinear boosted tree model.,0.9762028301886794,0.015999337433376063,0.9814727864727864,0.01515275841469286,0.9831246693704815,0.014993267377602492,0.9822093270502551,0.011909617680901288,0.995176718358547,0.002906838240642775,0.985,0.9924242424242424,0.9849624060150376,0.9886792452830189,0.9894512400403994,66,1,2,131
Data2,HistGradientBoosting,tuned,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.03, ""model__max_iter"": 200, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 10}",13,797,200,0.5,Tuned with GridSearchCV refit on recall. Nonlinear boosted tree model.,0.9736399371069183,0.009245817808517605,0.9760871394280342,0.014562171565015193,0.9849409275260095,0.011338456850875126,0.9803654002313982,0.006826058645045812,0.9940321995721364,0.004481014695096047,0.99,0.9924812030075187,0.9924812030075187,0.9924812030075187,0.988441252384693,66,1,1,132
Data2,RandomForest,default,{},13,797,200,0.5,Bagged tree model with native feature importance.,0.9473191823899372,0.020064156079013327,0.9538062524210403,0.01258084716624186,0.96803032974784,0.02356927581613581,0.9607361117517806,0.01528956904751554,0.9886103745304645,0.004748478769815534,0.94,0.935251798561151,0.9774436090225563,0.9558823529411765,0.9945011783189316,58,9,3,130
Data2,RandomForest,tuned,"{""model__class_weight"": null, ""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}",13,797,200,0.5,Tuned with GridSearchCV refit on recall. Bagged tree model with native feature importance.,0.9485691823899371,0.01745758547603475,0.953943230043282,0.01242923778513105,0.9698994886263446,0.021002956503171983,0.961728945510387,0.013229009182872275,0.9878108749247246,0.004603690218193317,0.94,0.935251798561151,0.9774436090225563,0.9558823529411765,0.9934350802379082,58,9,3,130
