dataset,model,params,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_roc_auc,std_test_roc_auc,rank_test_recall
Data1,LogisticRegression,"{""model__C"": 0.1, ""model__class_weight"": null}",0.9614973262032086,0.02149706015213025,0.9621947334088647,0.022618938701405127,0.9418245614035088,0.036262882046837856,0.9516951195007739,0.02708631292756708,0.993585856533225,0.005686666399152378,6
Data1,LogisticRegression,"{""model__C"": 0.1, ""model__class_weight"": ""balanced""}",0.9679144385026739,0.017245471119355173,0.9544623721465827,0.03355117661114041,0.9682456140350878,0.023204365919420763,0.9608499266634073,0.020629285463447253,0.9935622502201451,0.005696276417708383,2
Data1,LogisticRegression,"{""model__C"": 1.0, ""model__class_weight"": null}",0.9614973262032086,0.023038138212340104,0.9573367530209635,0.02780223316199273,0.9471228070175439,0.03253326067533477,0.9520935296856049,0.02858011758386978,0.9926342884237622,0.007050203325881672,4
Data1,LogisticRegression,"{""model__C"": 1.0, ""model__class_weight"": ""balanced""}",0.9679144385026739,0.017896471155809095,0.9518914034775607,0.03152629885846252,0.9708421052631578,0.027229607480566177,0.9608285917496444,0.02171544063826484,0.9927291200975411,0.007202144988849964,1
Data1,LogisticRegression,"{""model__C"": 10.0, ""model__class_weight"": null}",0.9593582887700535,0.02381931278216051,0.955034865473739,0.03147784885588633,0.9444561403508771,0.03511938921625412,0.9494444572653172,0.02952260899917202,0.9920399647768068,0.008006098244777306,5
Data1,LogisticRegression,"{""model__C"": 10.0, ""model__class_weight"": ""balanced""}",0.9636363636363636,0.021229340365004505,0.9511463729538183,0.03248913122598861,0.960280701754386,0.030436366772066945,0.9553268867893241,0.025890090646928477,0.9919684346000135,0.008178375941766007,3
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.03, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 10}",0.9818181818181818,0.007253828858957495,0.981852852852853,0.016773188795959706,0.9735087719298245,0.01878291201953303,0.9774199486370568,0.009121048299079238,0.997982388403441,0.0015609943559360706,40
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.03, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",0.9796791443850268,0.007859325377913945,0.9842218801079561,0.014971256982224323,0.9656140350877193,0.02138020013548001,0.9745799664136966,0.01001331379079804,0.998456241956242,0.0008813348645865204,47
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.03, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 10}",0.9807486631016042,0.009323848007573635,0.9817231829797348,0.017014172964259767,0.9708421052631578,0.019644234981035798,0.9760399072678381,0.011777154088301855,0.9978876583350267,0.0019139317285307652,42
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.03, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 20}",0.9786096256684491,0.008948235577904562,0.9816272855133615,0.017590876253445888,0.9656140350877193,0.02138020013548001,0.9732913758096698,0.011308354171129497,0.9985040642145906,0.0006916605581711085,47
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.03, ""model__max_iter"": 200, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 10}",0.9850267379679144,0.011419335028910491,0.9792564786811362,0.017003421838510273,0.9840701754385964,0.021298679148164287,0.9814829872874282,0.014311093365636884,0.998670426065163,0.0013158168018000467,20
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.03, ""model__max_iter"": 200, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",0.9818181818181817,0.009918308551332298,0.9792418387741504,0.02089169989534202,0.9761754385964914,0.012993546708993413,0.9775476806326273,0.012195161796086349,0.9990027433448485,0.0011854574160803974,34
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.03, ""model__max_iter"": 200, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 10}",0.9828877005347593,0.011419335028910493,0.9790957200526893,0.017206190500496456,0.9788070175438597,0.018097033353276348,0.9788351901075227,0.014228295670764338,0.9985283817652238,0.0016252245261514243,31
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.03, ""model__max_iter"": 200, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 20}",0.9818181818181817,0.009918308551332298,0.9792418387741504,0.02089169989534202,0.9761754385964914,0.012993546708993413,0.9775476806326273,0.012195161796086349,0.9990976766239925,0.0009973835350249303,34
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.06, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 10}",0.9850267379679144,0.011419335028910491,0.9792564786811362,0.017003421838510273,0.9840701754385964,0.021298679148164287,0.9814829872874282,0.014311093365636884,0.9987418546365914,0.0013241931869210435,20
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.06, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",0.9828877005347593,0.009200347879189968,0.9793684210526316,0.020711445843293225,0.9788070175438597,0.015895705016793608,0.9788710884076479,0.011391821849431908,0.999002540134119,0.001147396375573971,31
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.06, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 10}",0.983957219251337,0.013528460578260449,0.9794231453478028,0.023274396404445855,0.9814385964912281,0.01993723608174551,0.9802257279904338,0.01666260838454356,0.9985757976021133,0.0015316240281173941,26
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.06, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 20}",0.9828877005347593,0.009200347879189968,0.9816761133603238,0.01774032709290173,0.9761754385964914,0.012993546708993413,0.9788044883410478,0.011418947478510279,0.9991211813317076,0.0009866357111680986,34
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.06, ""model__max_iter"": 200, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 10}",0.9871657754010694,0.012005317818526012,0.9795692640692641,0.023233375837697946,0.98940350877193,0.00995935105506281,0.9843426661206169,0.014499771508027033,0.9987182483235115,0.0013979063119455642,1
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.06, ""model__max_iter"": 200, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",0.9871657754010694,0.012472624374000643,0.9843076923076923,0.01922522997146254,0.9841052631578947,0.015507660514276128,0.9841385281385282,0.01545636668182945,0.9993115559168191,0.0007701389631573992,7
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.06, ""model__max_iter"": 200, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 10}",0.9871657754010694,0.011519069106170055,0.979381278282011,0.020808015480237484,0.98940350877193,0.00995935105506281,0.9842941776867409,0.014072938073800058,0.998718451534241,0.001589533832423089,1
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.06, ""model__max_iter"": 200, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 20}",0.9882352941176471,0.011909656391080261,0.9868051948051948,0.016757897270571195,0.9841052631578947,0.015507660514276128,0.9854117647058824,0.01482000165512997,0.9992641400799295,0.0009074547463510599,7
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.1, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 10}",0.9860962566844919,0.012923043822026277,0.9817965630693217,0.01911093149205399,0.9840701754385964,0.019605653671686676,0.9828085861349241,0.01608086402083024,0.9986944387997021,0.0014678719709924678,20
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.1, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",0.9850267379679144,0.010369368678965402,0.982,0.022271057451320107,0.9814385964912281,0.01357055817738983,0.9815383430146752,0.01280606748460496,0.9992641400799295,0.0010238653600295638,26
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.1, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 10}",0.9850267379679144,0.012380574227583126,0.9817965630693217,0.01911093149205399,0.9814385964912281,0.01993723608174551,0.9814664227795158,0.015408745055876142,0.9986946420104313,0.0015386081803878385,26
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.1, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 20}",0.9871657754010694,0.00800354521235066,0.9869996578857337,0.016294123509841527,0.9814385964912281,0.01357055817738983,0.9840841710049718,0.010007953236182995,0.9992877463930097,0.0008354213083229693,26
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.1, ""model__max_iter"": 200, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 10}",0.983957219251337,0.015498798659026144,0.9767944892944893,0.02460068819413878,0.9840701754385964,0.019605653671686676,0.9802800262995881,0.019123740497501995,0.9984567499830657,0.001706067881228521,20
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.1, ""model__max_iter"": 200, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",0.9882352941176471,0.011909656391080261,0.9868051948051948,0.016757897270571195,0.9841052631578947,0.015507660514276128,0.9854117647058824,0.01482000165512997,0.9991930163245952,0.0009817639165955966,7
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.1, ""model__max_iter"": 200, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 10}",0.9860962566844919,0.011011369134745447,0.9818706097187109,0.019075850976872068,0.9841052631578947,0.015507660514276128,0.9828631214916508,0.01355574781089767,0.9985518864729391,0.0016863586985286306,7
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.1, ""model__max_iter"": 200, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 20}",0.9882352941176471,0.01090699361196317,0.9869022869022869,0.016443841940361886,0.9841052631578947,0.015507660514276128,0.985427118742555,0.013540006383810236,0.9991218925692611,0.0010076905906376548,7
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.03, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 10}",0.9796791443850268,0.009200347879189975,0.981687146943699,0.017003852179101917,0.9682105263157895,0.019965929736969895,0.9746800838682796,0.011617554195665864,0.9980064011379801,0.001553926004465984,45
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.03, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",0.9796791443850268,0.010369368678965419,0.9816272855133615,0.017590876253445888,0.968280701754386,0.022950533608630953,0.9746517966331778,0.013083717361450054,0.9981471245681771,0.0012571297714623613,43
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.03, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 10}",0.9786096256684491,0.007562639370979117,0.9791100392308187,0.014557671909471846,0.9682105263157895,0.024625080364307446,0.9733010307931884,0.009805430441278932,0.9979826932195353,0.001603033033081879,45
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.03, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 20}",0.9796791443850268,0.010369368678965419,0.9816272855133615,0.017590876253445888,0.968280701754386,0.022950533608630953,0.9746517966331778,0.013083717361450054,0.9981708324866219,0.0012638871237294167,43
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.03, ""model__max_iter"": 200, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 10}",0.9850267379679144,0.01090699361196317,0.9792039430520443,0.017194256408349488,0.9841052631578947,0.015507660514276128,0.9815562782245426,0.013440549884791845,0.9985282801598592,0.001637450818799941,7
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.03, ""model__max_iter"": 200, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",0.9807486631016042,0.011011369134745453,0.9790769230769231,0.02106537833426093,0.9735438596491228,0.008434492199546142,0.976225333728156,0.013485763596764922,0.9988129783919257,0.00136688704252987,38
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.03, ""model__max_iter"": 200, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 10}",0.9850267379679144,0.01090699361196317,0.9792039430520443,0.017194256408349488,0.9841052631578947,0.015507660514276128,0.9815562782245426,0.013440549884791845,0.9985284833705886,0.0017077087628614334,7
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.03, ""model__max_iter"": 200, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 20}",0.9818181818181817,0.009918308551332298,0.9792418387741504,0.02089169989534202,0.9761754385964914,0.012993546708993413,0.9775476806326273,0.012195161796086349,0.9988365847050057,0.0013576312011536018,34
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.06, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 10}",0.9850267379679144,0.01090699361196317,0.9792039430520443,0.017194256408349488,0.9841052631578947,0.015507660514276128,0.9815562782245426,0.013440549884791845,0.9987418546365916,0.0013241931869209733,7
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.06, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",0.9818181818181817,0.009918308551332298,0.9818734177215189,0.022453626836564454,0.9735438596491228,0.011848744078024954,0.977512592913329,0.012168592995903716,0.9989077084603399,0.0011369186831852358,38
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.06, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 10}",0.9850267379679144,0.01090699361196317,0.9792039430520443,0.017194256408349488,0.9841052631578947,0.015507660514276128,0.9815562782245426,0.013440549884791845,0.9988602926234507,0.001104751519322771,7
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.06, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 20}",0.9807486631016042,0.011011369134745453,0.9817435897435898,0.022642288782025257,0.9709122807017545,0.009904685803285436,0.976171998024347,0.01347072458887295,0.9989077084603402,0.001187694331695686,41
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.06, ""model__max_iter"": 200, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 10}",0.9850267379679144,0.012380574227583128,0.979497191997192,0.02325315899504604,0.9841052631578947,0.015507660514276128,0.9816224267025688,0.015081019405877619,0.9989082164871638,0.0012757086577522513,7
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.06, ""model__max_iter"": 200, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",0.9850267379679144,0.012380574227583128,0.9818734177215189,0.022453626836564454,0.9814385964912281,0.01357055817738983,0.981539438550913,0.01522788150142543,0.9991926099031362,0.0010327150503141663,26
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.06, ""model__max_iter"": 200, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 10}",0.9860962566844919,0.011011369134745447,0.9796515129848462,0.022974824630938626,0.9867368421052631,0.01681049665488601,0.9829453076432841,0.013464761891489669,0.9989079116710695,0.0012937107415856065,3
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.06, ""model__max_iter"": 200, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 20}",0.9850267379679144,0.012380574227583126,0.9818734177215189,0.022453626836564454,0.9814736842105264,0.013584250290526846,0.9815572171188492,0.015241633952017995,0.9992162162162161,0.000977633150720793,25
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.1, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 10}",0.9860962566844919,0.011011369134745447,0.9818706097187109,0.019075850976872068,0.9841052631578947,0.015507660514276128,0.9828631214916508,0.01355574781089767,0.9987181467181468,0.0014801004668220025,7
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.1, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",0.9850267379679144,0.010369368678965402,0.9843076923076923,0.01922522997146254,0.9788070175438597,0.010685002707358735,0.9814717429480753,0.012844041402805158,0.999073359073359,0.001090174165555512,31
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.1, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 10}",0.9850267379679144,0.01090699361196317,0.9769848463181796,0.021160381546324,0.9867368421052631,0.01681049665488601,0.981638464376176,0.013356822381287284,0.9987655625550362,0.0012318673681891922,3
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.1, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 20}",0.9871657754010694,0.011011369134745454,0.9844050632911392,0.019110553814702252,0.9840701754385964,0.015501625725165571,0.984120083712203,0.01368628414726654,0.9992397209239314,0.0008847221076982137,20
